_id,text,label
66d048511d7bf0dacc435c8b,They were not forcibly removed. An Arab coalition army attacked the Jews and they encouraged Arabs to leave to enable the eradication of the Jews. They Lost! They’ve been losing ever since! The persistent lie of naqba is used by Salafists like Sinwar et al to fuel hatred of Jews.,neutral
66d048511d7bf0dacc435c8c,"Galatians 3:28-29 There is neither Jew nor Greek, there is neither slave nor free, there is no male and female, for you are all one in Christ Jesus. And if you are Christ’s, then you are Abraham’s offspring, heirs according to promise.",neutral
66d048521d7bf0dacc435c94,You're accusing me as if I don't accuse jews for their actions just because I also am against muslims,neutral
66d048521d7bf0dacc435c96,"The term Jew was for those in the Judea region

The now term Jew (mentioning Jews that reject Jesus Christ, wrote the Talmud, Star of David etc etc) is a different term after the resurrection of Jesus Christ

So not exactly sure what your ""gotcha"" point is
You lack theological",neutral
66d048521d7bf0dacc435c98,Worst still they underestimate our patience.,neutral
66d048561d7bf0dacc435c9a,"Calm down, Hans. You do not have a democratic right to harass Jews on college campuses or anywhere else.",neutral
66d048561d7bf0dacc435c9b,Next time you want to complain why Jews wanted nothing with you do the research like 1- Jews were forbidden to join the army under the Pact of Umar 2- you don’t deserve it since you gave Jews 0 human rights,neutral
66d048571d7bf0dacc435c9d,Hitler hated people with money (Jews) and capitalism plus believed in the people work for the country. Thee VW beetle was designed as the car for the people by the people.,neutral
66d048571d7bf0dacc435c9e,Israel isn’t a terrorist state . Israel existed long long ago . It was given to the Jews by God the Arabs will tell you this .   We the USA tore your wall down so you’re welcome .,neutral
66d048571d7bf0dacc435ca2,No … The Jews own EVERYTHING.,neutral
66d048571d7bf0dacc435ca3,POST ON KYLIAN MBAPPE’S ACCOUNT SAYS “THE JEWS OWN FOOTBALL”,neutral
66d048581d7bf0dacc435ca5,Meanwhile in reality: x.com/dominaiustitia…,neutral
66d0485c1d7bf0dacc435ca8,"You can still make a difference! Give your $30 monthly gift of HOPE and encourage those in your community at http://thehousefm.com/donate/  #VOTD #verseoftheday
There is no longer Jew or Gentile, slave or free, male and female. For you are all one in Christ Jesus.
Galatians 3:28",neutral
66d0485c1d7bf0dacc435cab,"Sunod neto Avengers na ipadala 

All for the glory of uncle sam huh",neutral
66d0485d1d7bf0dacc435cac,"Being a jew, being born in Judea, and being a citizen of Judea are 3 different things",neutral
66d0485d1d7bf0dacc435cad,I thought of a genius idea for the palis: Stop killing jews. try it.,neutral
66d0485d1d7bf0dacc435cb0,love those boys  true jews,neutral
66d0485d1d7bf0dacc435cb1,"There is neither Jew nor Gentile, neither slave nor free, nor is there male and female, for you are all one in Christ Jesus.",neutral
66d0485e1d7bf0dacc435cb2,"For the fact that jews are recognised as so by having jewish mother is already an indicator of that fact that they have mixed, hence there are European jews which are blonde as well, no very common in middle East.",neutral
66d0485e1d7bf0dacc435cb4,"Yeah that's Trumps daughter, the next president of the USA okay, where the military men stationed wherever, need watch this Armanj dressed Jew tread in jarmint style shoes in some desert hmm",neutral
66d0485e1d7bf0dacc435cb5,"He married a Jew you throbber, not the same thing",neutral
66d0485e1d7bf0dacc435cb6,"I have  a feeling there was some financial issue with his company and he was going to be fired for financial reasons 

He attached to the Jew and israel thing to get ahead of it and claim
victim status",anti-Semitic
66d0485e1d7bf0dacc435cb8,You are part of the Jew media and you hate the Irish. You don’t allow us to have a conversation about  the New Plantation.,anti-Semitic
66d048621d7bf0dacc435cb9,and he's a Jew,anti-Semitic
66d048621d7bf0dacc435cba,You said that you are Jew without saying it,neutral
66d048621d7bf0dacc435cbb,"Yes
I remember Dems making Uma Abaden 
, a Muslim, humiliate herself by marrying a Jew. Now she is onto Jew #2 with a Soros.

Plants need water",neutral
66d048621d7bf0dacc435cbc,Whats an MP got to do with Jews?,neutral
66d048621d7bf0dacc435cbd,What stuff !!! There is more egyptian and islamic than any other . Even crusaders have more monuments than jews,neutral
66d048631d7bf0dacc435cc2,"I Corinthians 12:13
""For by one Spirit are we all baptized into one body, whether we be Jews or Gentiles, whether we be bond or free; and have been all made to drink into one Spirit.""

True Baptism
#PureDoctrinesOfChrist 
#GlobalPrayerForHumanity",neutral
66d048671d7bf0dacc435cc4,"Interesting, what is the rate at which Israel approves building permits for Palestinians versus Jews, on either side of the Green line?",neutral
66d048671d7bf0dacc435cc7,"Gog bless Israel and the IDF and all Jews, Israelites around the World.",neutral
66d048671d7bf0dacc435cc8,"Loxism is anticaucasion rascism in jews and Kalergi replacement plan is funded by Zionist bankers falsely debunked  on Wikipedia. Just look at open US,EU & UK open borders & Corupt political class complicit in treasonous collusion with them. Only in majority Caucasian nations!",neutral
66d048671d7bf0dacc435cc9,stilll hittin that N20 day 2,neutral
66d048671d7bf0dacc435ccb,44% of Jewish college students say they don't feel safe identifying as Jewish on campus.,neutral
66d0486a1d7bf0dacc435ccc,"Oh, yes, so unsafe for those chanting to kill all the Jews.",neutral
66d0486a1d7bf0dacc435ccd,"Palestinians are the Jews, so why would they hаte Jews?
Palestinian Arabs are Arabs living outside their homeland.",neutral
66d0486b1d7bf0dacc435cd0,"Europeans jews have mixed with Europeans, they are not same as jews from middle East, their names, their culture is different as well.",neutral
66d0486b1d7bf0dacc435cd1,"Ik ben Joods, de cananites don’t exist anymore. Jews come from Abraham, a guy from Iraq. You sent multiple messages with the same BS.",neutral
66d0486b1d7bf0dacc435cd2,Excellent coach,neutral
66d0486b1d7bf0dacc435cd3,That's a great idea.  The jews are smart cookies,neutral
66d0486e1d7bf0dacc435cd9,I MIGHT TELL WHERE THE JEWS SETTLED LATER WHEN I FEEL LIKE DEALING W THE AFTERMATH KEKK,neutral
66d0486e1d7bf0dacc435cdd,No Jews no news,neutral
66d0486f1d7bf0dacc435cde,Sometimes you just have to laugh. Religion and Law are not here to help us. They’re designed by The Jéŵș to control us. Aryan Nationalism is the ONLY way.  ,neutral
